"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5087","registers a new user then deletes the account @smoke @critical","automationexercise-chromium","2026-08-13","passed","2026-08-13","Test Case 1: Register User","register-user.spec.ts","",""
"","2895","logs in with valid credentials then deletes the account @smoke @critical","automationexercise-chromium","2026-08-13","passed","2026-08-13","Test Case 2: Login User with correct email and password","login-user.spec.ts","",""
